timestamp,x_pos,y_pos,current_distance,error,derivative,control_speed
1752725931.3384466,-5e-05,5e-05,7.071067811865475e-05,1.9999292893218814,99.99646446609407,1.0
1752725931.3693502,-5e-05,4e-05,6.403124237432849e-05,1.9999359687576257,0.0003339717872141712,1.0
1752725931.3996649,-4e-05,4e-05,5.6568542494923805e-05,1.999943431457505,0.000373134993969515,1.0
1752725931.4303594,-5e-05,3e-05,5.8309518948453004e-05,1.9999416904810516,-8.704882267229763e-05,1.0
1752725931.461375,0.00046,-0.0001,0.0004707440918375928,1.9995292559081623,-0.02062172864446543,1.0
1752725931.4916577,0.00319,-0.0003,0.0032040755296965143,1.9967959244703035,-0.1366665718929405,1.0
1752725931.52283,0.00658,0.00058,0.00660551284912837,1.9933944871508715,-0.1700718659715994,1.0
1752725931.5537338,0.01948,-0.00069,0.019492216395269164,1.980507783604731,-0.6443351773070316,1.0
1752725931.5841165,0.02936,-0.00033,0.029361854505463376,1.9706381454945365,-0.4934819055097184,1.0
1752725931.6136177,0.05451,0.00011,0.0545101109886964,1.9454898890113035,-1.2574128241616522,1.0
1752725931.6444411,0.06913,0.00069,0.06913344342646328,1.9308665565735368,-0.731166621888335,1.0
1752725931.6746373,0.10212,0.00128,0.10212802161992565,1.8978719783800744,-1.6497289096731205,1.0
1752725931.7052608,0.13883,0.00282,0.1388586378299888,1.8611413621700112,-1.8365308105031564,1.0
1752725931.736055,0.15749,0.00297,0.15751800214578648,1.8424819978542135,-0.9329682157898866,1.0
1752725931.7668402,0.19444,0.0041,0.19448322189844552,1.8055167781015544,-1.8482609876329548,1.0
1752725931.7973292,0.21273,0.00518,0.21279305745254004,1.78720694254746,-0.9154917777047245,1.0
1752725931.8282835,0.23169,0.00565,0.2317588803045096,1.7682411196954904,-0.9482911425984786,1.0
1752725931.8597367,0.26918,0.00738,0.2692811482447295,1.7307188517552705,-1.8761133970109922,1.0
1752725931.889763,0.28782,0.00815,0.2879353658375435,1.7120646341624566,-0.9327108796406969,1.0
1752725931.9213178,0.32526,0.00971,0.3254049042347088,1.6745950957652913,-1.8734769198582635,1.0
1752725931.9534547,0.36152,0.01051,0.36167273950354617,1.6383272604964538,-1.813391763441874,1.0
1752725931.9837005,0.37909,0.011,0.3792495591296053,1.6207504408703948,-0.878840981302953,1.0
1752725932.015332,0.41278,0.01215,0.41295877627191796,1.587041223728082,-1.6854608571156393,1.0
1752725932.046471,0.42881,0.01262,0.42899566489651153,1.5710043351034884,-0.8018444312296813,1.0
1752725932.0771558,0.45956,0.01365,0.4597626736697968,1.5402373263302032,-1.53835043866426,1.0
1752725932.1070256,0.47433,0.01406,0.47453833617527674,1.5254616638247231,-0.7387831252740007,1.0
1752725932.137563,0.50351,0.01511,0.50373666950104,1.49626333049896,-1.4599166662881524,1.0
1752725932.1682727,0.51793,0.01564,0.5181660877556539,1.4818339122443462,-0.7214709127306929,1.0
1752725932.1989841,0.54733,0.01682,0.5475883867468337,1.4524116132531661,-1.4711149495590048,1.0
1752725932.2295036,0.56233,0.01738,0.5625985187502719,1.437401481249728,-0.7505066001719074,1.0
1752725932.2597492,0.59316,0.01867,0.5934537509359934,1.4065462490640066,-1.5427616092860696,1.0
1752725932.290146,0.62534,0.01973,0.6093903387813102,1.3906096612186898,-0.7968293922658409,1.0
1752725932.3211634,0.64203,0.0205,0.642357198838777,1.357642801161223,-1.6483430028733426,1.0
1752725932.351475,0.67576,0.02185,0.6761131562837688,1.3238868437162312,-1.6877978722495857,1.0
1752725932.3823943,0.69262,0.02237,0.6929811550828782,1.3070188449171218,-0.8433999399554692,1.0
1752725932.4135454,0.72626,0.02391,0.7266534770439071,1.2733465229560927,-1.6836160980514547,1.0
1752725932.444875,0.74291,0.02445,0.7433122295509471,1.2566877704490529,-0.8329376253519927,1.0
1752725932.4759104,0.77585,0.02557,0.7762712460216468,1.2237287539783532,-1.6479508235349827,1.0
1752725932.5059164,0.80812,0.02619,0.8085442786267181,1.191455721373282,-1.6136516302535653,1.0
1752725932.5379446,0.82408,0.02675,0.8245140440890016,1.1754859559109985,-0.7984882731141729,1.0
1752725932.5688806,0.85531,0.02761,0.85575551894218,1.1442444810578198,-1.5620737426589315,1.0
1752725932.6004019,0.87086,0.02792,0.8713074463127237,1.1286925536872763,-0.7775963685271781,1.0
1752725932.6313589,0.90204,0.02906,0.9025079751448183,1.0974920248551818,-1.5600264416047227,1.0
1752725932.6617916,0.91767,0.02959,0.9181469364976392,1.0818530635023609,-0.7819480676410473,1.0
1752725932.6934125,0.94913,0.03097,0.9496351393035117,1.0503648606964884,-1.574410140293625,1.0
1752725932.7245824,0.96485,0.03125,0.965355936947611,1.034644063052389,-0.7860398822049697,1.0
1752725932.7554276,0.99627,0.03212,0.9967876440345756,1.0032123559654242,-1.5715853543482372,1.0
1752725932.7863045,0.99627,0.03212,0.9967876440345756,1.0032123559654242,0.0,1.0
1752725932.8166182,1.044,0.03371,1.0445440938993433,0.9554559061006567,-2.3878224932383785,1.0
1752725932.8473647,1.05978,0.03425,1.0603333017971281,0.9396666982028719,-0.7894603948892409,1.0
1752725932.8782337,1.09155,0.03536,1.0921225810777835,0.9078774189222165,-1.5894639640327668,1.0
1752725932.908572,1.10767,0.03591,1.1082519375124051,0.8917480624875949,-0.8064678217310828,1.0
1752725932.939753,1.13967,0.03718,1.1402763091900139,0.8597236908099861,-1.6012185838804371,1.0
1752725932.9703517,1.17179,0.03869,1.172428556544065,0.8275714434559349,-1.60761236770256,1.0
