timestamp,x_pos,y_pos,current_distance,error,control_speed
1752722679.8641253,2.08132,-0.00174,2.0813207273267618,-0.08132072732676177,-0.20330181831690441
1752722679.8942192,2.08444,-0.00175,2.084440734609646,-0.08444073460964585,-0.21110183652411463
1752722679.924459,2.0903,-0.00194,2.090300900253358,-0.09030090025335813,-0.22575225063339532
1752722679.955978,2.09293,-0.00199,2.0929309460658274,-0.09293094606582741,-0.23232736516456853
1752722679.986418,2.09596,-0.00166,2.09596065735977,-0.09596065735977,-0.239901643399425
1752722680.0175724,2.09543,-0.0014,2.0954304676843845,-0.09543046768438446,-0.23857616921096114
1752722680.0483513,2.0887,-0.00075,2.0887001346531293,-0.08870013465312931,-0.22175033663282329
1752722680.0794199,2.08282,-0.00073,2.0828201279275174,-0.08282012792751736,-0.2070503198187934
1752722680.1113172,2.06901,-0.00096,2.0690102227151996,-0.06901022271519963,-0.17252555678799908
1752722680.1410356,2.0619,-0.00069,2.0619001154517647,-0.06190011545176466,-0.15475028862941165
1752722680.1725073,2.047,-0.0006,2.0470000879335593,-0.047000087933559254,-0.11750021983389813
1752722680.202904,2.03236,-0.00057,2.0323600799317036,-0.032360079931703645,-0.08090019982925911
1752722680.233737,2.02546,-0.00065,2.0254601042972924,-0.025460104297292396,-0.06365026074323099
1752722680.2651684,2.01375,-0.00031,2.013750023860956,-0.013750023860955807,-0.03437505965238952
