t_s,dt_s,conf,cx,cy,size_x,size_y,dist_x_cm,dist_y_cm,dist_avg_cm,yaw_err_deg,pitch_err_deg,pid_yaw,pid_pitch,yaw_out_deg,pitch_out_deg
4.375,0.0940,0.638,601,360,41,75,79.024,115.199,97.112,-3.656,-0.000,-0.731,0.000,-4.900,1.100
4.484,0.1090,0.609,614,357,42,73,77.143,118.355,97.749,-2.438,0.369,-0.488,0.074,-5.300,1.200
4.594,0.1100,0.653,635,357,42,73,77.143,118.355,97.749,-0.469,0.369,-0.094,0.074,-5.400,1.300
4.688,0.0940,0.648,644,355,41,73,79.024,118.355,98.690,0.375,0.615,0.075,0.123,-5.400,1.400
4.781,0.0930,0.606,664,351,43,73,75.349,118.355,96.852,2.250,1.106,0.450,0.221,-5.300,1.600
4.891,0.1100,0.567,687,348,42,75,77.143,115.199,96.171,4.406,1.475,0.881,0.295,-5.000,2.000
4.984,0.0930,0.570,719,360,26,51,124.615,169.410,147.013,7.406,-0.000,1.481,0.000,-4.900,2.000
5.094,0.1100,0.564,737,356,26,47,124.615,183.828,154.222,9.094,0.492,1.819,0.098,-3.700,1.900
5.203,0.1090,0.570,743,340,25,47,129.600,183.828,156.714,9.656,2.459,1.931,0.492,-2.300,2.000
5.281,0.0780,0.564,722,293,27,58,120.000,148.964,134.482,7.687,8.236,1.537,1.647,-0.800,2.400
5.391,0.1100,0.571,740,330,26,47,124.615,183.828,154.222,9.375,3.688,1.875,0.738,0.100,4.000
5.484,0.0930,0.542,731,336,25,47,129.600,183.828,156.714,8.531,2.950,1.706,0.590,2.700,5.000
5.578,0.0940,0.581,695,296,27,58,120.000,148.964,134.482,5.156,7.867,1.031,1.573,3.600,6.200
5.688,0.1100,0.554,678,301,28,58,115.714,148.964,132.339,3.562,7.253,0.713,1.451,3.700,6.900
5.781,0.0930,0.550,669,325,27,58,120.000,148.964,134.482,2.719,4.302,0.544,0.860,4.000,8.400
5.891,0.1100,0.566,672,389,41,82,79.024,105.365,92.195,3.000,-3.565,0.600,-0.713,4.200,9.100
6.000,0.1090,0.582,673,404,42,85,77.143,101.646,89.394,3.094,-5.409,0.619,-1.082,4.500,8.100
6.094,0.0940,0.628,672,415,39,82,83.077,105.365,94.221,3.000,-6.761,0.600,-1.352,4.800,7.100
6.203,0.1090,0.640,672,404,35,84,92.571,102.856,97.714,3.000,-5.409,0.600,-1.082,5.000,5.700
6.297,0.0940,0.595,676,422,32,84,101.250,102.856,102.053,3.375,-7.621,0.675,-1.524,5.600,3.900
6.391,0.0940,0.594,676,422,31,84,104.516,102.856,103.686,3.375,-7.621,0.675,-1.524,6.100,2.300
6.500,0.1090,0.605,675,407,30,82,108.000,105.365,106.682,3.281,-5.778,0.656,-1.156,6.400,0.800
6.578,0.0780,0.542,676,407,31,82,104.516,105.365,104.940,3.375,-5.778,0.675,-1.156,6.800,-0.400
6.688,0.1100,0.534,675,403,30,82,108.000,105.365,106.682,3.281,-5.286,0.656,-1.057,6.900,-1.000
6.781,0.0930,0.564,678,414,28,48,115.714,179.998,147.856,3.562,-6.638,0.713,-1.328,7.200,-2.100
6.891,0.1100,0.548,686,405,28,53,115.714,163.017,139.366,4.312,-5.532,0.863,-1.106,7.600,-3.200
6.984,0.0930,0.576,698,387,31,53,104.516,163.017,133.767,5.438,-3.319,1.088,-0.664,8.200,-4.400
7.078,0.0940,0.562,705,354,33,84,98.182,102.856,100.519,6.094,0.738,1.219,0.148,8.900,-5.100
7.188,0.1100,0.597,704,328,28,53,115.714,163.017,139.366,6.000,3.934,1.200,0.787,9.900,-4.900
7.281,0.0930,0.610,703,329,30,55,108.000,157.090,132.545,5.906,3.811,1.181,0.762,10.800,-4.300
7.391,0.1100,0.598,700,336,33,53,98.182,163.017,130.600,5.625,2.950,1.125,0.590,11.700,-3.500
7.500,0.1090,0.568,702,347,32,55,101.250,157.090,129.170,5.812,1.598,1.163,0.320,12.500,-2.900
7.578,0.0780,0.572,702,351,32,55,101.250,157.090,129.170,5.812,1.106,1.163,0.221,13.400,-2.600
7.688,0.1100,0.587,696,353,32,55,101.250,157.090,129.170,5.250,0.860,1.050,0.172,14.200,-2.400
7.781,0.0930,0.672,680,356,32,53,101.250,163.017,132.134,3.750,0.492,0.750,0.098,14.900,-2.300
7.891,0.1100,0.694,651,390,30,52,108.000,166.152,137.076,1.031,-3.688,0.206,-0.738,15.100,-2.700
8.000,0.1090,0.724,624,387,26,49,124.615,176.325,150.470,-1.500,-3.319,-0.300,-0.664,15.400,-3.300
8.078,0.0780,0.788,605,383,23,46,140.869,187.824,164.347,-3.281,-2.827,-0.656,-0.565,14.700,-4.100
8.188,0.1100,0.741,577,371,21,46,154.285,187.824,171.055,-5.906,-1.352,-1.181,-0.270,14.900,-4.200
8.281,0.0930,0.740,556,357,20,46,162.000,187.824,174.912,-7.875,0.369,-1.575,0.074,14.000,-4.500
8.375,0.0940,0.707,544,347,24,46,135.000,187.824,161.412,-9.000,1.598,-1.800,0.320,13.100,-4.300
8.484,0.1090,0.728,537,339,21,45,154.285,191.998,173.142,-9.656,2.581,-1.931,0.516,11.600,-3.900
8.578,0.0940,0.685,537,336,23,47,140.869,183.828,162.349,-9.656,2.950,-1.931,0.590,10.100,-3.200
8.688,0.1100,0.667,544,336,22,47,147.272,183.828,165.550,-9.000,2.950,-1.800,0.590,8.300,-2.700
8.781,0.0930,0.591,554,338,24,44,135.000,196.362,165.681,-8.062,2.704,-1.613,0.541,7.100,-1.700
8.891,0.1100,0.597,565,344,21,44,154.285,196.362,175.324,-7.031,1.967,-1.406,0.393,5.300,-1.000
9.000,0.1090,0.543,581,351,21,42,154.285,205.712,179.999,-5.531,1.106,-1.106,0.221,4.500,-0.800
9.078,0.0780,0.585,591,355,23,42,140.869,205.712,173.291,-4.594,0.615,-0.919,0.123,4.000,-0.800
9.188,0.1100,0.595,607,327,23,47,140.869,183.828,162.349,-3.094,4.057,-0.619,0.811,3.500,-0.700
9.281,0.0930,0.612,617,357,22,45,147.272,191.998,169.635,-2.156,0.369,-0.431,0.074,3.300,0.200
9.375,0.0940,0.616,628,363,25,46,129.600,187.824,158.712,-1.125,-0.369,-0.225,-0.074,3.300,0.000
9.484,0.1090,0.620,636,359,23,46,140.869,187.824,164.347,-0.375,0.123,-0.075,0.025,3.300,0.100
9.547,0.0630,0.683,642,352,23,48,140.869,179.998,160.434,0.188,0.983,0.038,0.197,3.300,0.200
9.688,0.1410,0.672,654,352,23,48,140.869,179.998,160.434,1.312,0.983,0.263,0.197,3.300,0.700
9.781,0.0930,0.677,681,360,24,47,135.000,183.828,159.414,3.844,-0.000,0.769,0.000,3.700,0.500
9.875,0.0940,0.678,696,365,22,49,147.272,176.325,161.799,5.250,-0.615,1.050,-0.123,4.400,0.400
9.984,0.1090,0.680,713,374,22,44,147.272,196.362,171.817,6.844,-1.721,1.369,-0.344,5.100,0.100
10.078,0.0940,0.642,729,376,25,47,129.600,183.828,156.714,8.344,-1.967,1.669,-0.393,5.400,0.000
10.188,0.1100,0.605,736,377,24,45,135.000,191.998,163.499,9.000,-2.090,1.800,-0.418,6.900,-0.500
10.281,0.0930,0.653,732,377,24,45,135.000,191.998,163.499,8.625,-2.090,1.725,-0.418,8.300,-0.900
10.375,0.0940,0.649,709,368,20,55,162.000,157.090,159.545,6.469,-0.983,1.294,-0.197,9.700,-1.300
10.484,0.1090,0.607,683,374,26,40,124.615,215.998,170.307,4.031,-1.721,0.806,-0.344,10.800,-1.600
10.609,0.1250,0.594,651,372,26,40,124.615,215.998,170.307,1.031,-1.475,0.206,-0.295,11.200,-1.900
10.703,0.0940,0.655,616,371,17,38,190.588,227.366,208.977,-2.250,-1.352,-0.450,-0.270,11.300,-2.300
10.781,0.0780,0.633,590,334,19,45,170.526,191.998,181.262,-4.688,3.196,-0.938,0.639,11.200,-2.600
10.891,0.1100,0.636,568,358,20,40,162.000,215.998,188.999,-6.750,0.246,-1.350,0.049,10.800,-1.900
10.984,0.0930,0.637,552,328,23,45,140.869,191.998,166.434,-8.250,3.934,-1.650,0.787,9.700,-1.800
11.094,0.1100,0.592,550,355,23,41,140.869,210.730,175.800,-8.438,0.615,-1.688,0.123,8.200,-0.800
11.188,0.0940,0.627,565,332,22,45,147.272,191.998,169.635,-7.031,3.442,-1.406,0.688,6.700,-0.300
11.281,0.0930,0.637,581,334,24,45,135.000,191.998,163.499,-5.531,3.196,-1.106,0.639,6.200,0.000
11.391,0.1100,0.594,601,378,21,44,154.285,196.362,175.324,-3.656,-2.213,-0.731,-0.443,5.100,0.000
11.500,0.1090,0.626,624,357,23,46,140.869,187.824,164.347,-1.500,0.369,-0.300,0.074,5.100,0.200
11.578,0.0780,0.619,641,354,23,44,140.869,196.362,168.616,0.094,0.738,0.019,0.148,5.100,0.100
11.688,0.1100,0.648,655,382,21,39,154.285,221.537,187.911,1.406,-2.704,0.281,-0.541,5.100,0.300
11.781,0.0930,0.656,673,380,23,40,140.869,215.998,178.434,3.094,-2.459,0.619,-0.492,5.100,-0.200
11.875,0.0940,0.680,687,373,22,38,147.272,227.366,187.319,4.406,-1.598,0.881,-0.320,5.400,-0.700
11.984,0.1090,0.631,705,358,26,44,124.615,196.362,160.489,6.094,0.246,1.219,0.049,6.400,-1.000
12.078,0.0940,0.640,709,354,26,44,124.615,196.362,160.489,6.469,0.738,1.294,0.148,7.500,-1.000
12.188,0.1100,0.570,712,355,24,45,135.000,191.998,163.499,6.750,0.615,1.350,0.123,8.000,-0.900
12.281,0.0930,0.586,706,357,27,46,120.000,187.824,153.912,6.188,0.369,1.238,0.074,9.300,-0.900
12.406,0.1250,0.555,686,346,28,68,115.714,127.058,121.386,4.312,1.721,0.863,0.344,9.800,-0.900
12.484,0.0780,0.618,667,358,29,44,111.724,196.362,154.043,2.531,0.246,0.506,0.049,10.400,-0.600
12.594,0.1100,0.601,641,361,28,42,115.714,205.712,160.713,0.094,-0.123,0.019,-0.025,10.500,-0.600
12.641,0.0470,0.578,638,336,28,53,115.714,163.017,139.366,-0.188,2.950,-0.038,0.590,10.500,-0.300
12.781,0.1400,0.612,606,336,27,53,120.000,163.017,141.509,-3.188,2.950,-0.638,0.590,10.600,0.200
12.891,0.1100,0.593,596,329,24,43,135.000,200.928,167.964,-4.125,3.811,-0.825,0.762,10.400,0.600
12.984,0.0930,0.614,578,332,24,45,135.000,191.998,163.499,-5.812,3.442,-1.163,0.688,9.900,1.300
13.094,0.1100,0.570,574,339,23,43,140.869,200.928,170.899,-6.188,2.581,-1.238,0.516,8.800,2.600
13.188,0.0940,0.615,572,348,24,45,135.000,191.998,163.499,-6.375,1.475,-1.275,0.295,7.900,2.900
13.281,0.0930,0.607,575,354,24,44,135.000,196.362,165.681,-6.094,0.738,-1.219,0.148,6.700,3.000
13.391,0.1100,0.627,582,359,24,43,135.000,200.928,167.964,-5.438,0.123,-1.088,0.025,6.200,3.100
13.484,0.0930,0.612,589,361,23,42,140.869,205.712,173.291,-4.781,-0.123,-0.956,-0.025,5.900,3.100
13.594,0.1100,0.615,599,368,23,44,140.869,196.362,168.616,-3.844,-0.983,-0.769,-0.197,5.300,3.200
13.688,0.0940,0.578,605,375,21,46,154.285,187.824,171.055,-3.281,-1.844,-0.656,-0.369,4.900,3.000
13.781,0.0930,0.588,616,380,21,44,154.285,196.362,175.324,-2.250,-2.459,-0.450,-0.492,4.600,2.200
13.891,0.1100,0.595,630,382,21,45,154.285,191.998,173.142,-0.938,-2.704,-0.188,-0.541,4.500,2.100
13.984,0.0930,0.601,639,414,22,44,147.272,196.362,171.817,-0.094,-6.638,-0.019,-1.328,4.600,0.500
14.078,0.0940,0.611,651,388,22,53,147.272,163.017,155.145,1.031,-3.442,0.206,-0.688,4.600,-0.300
14.188,0.1100,0.638,664,370,20,45,162.000,191.998,176.999,2.250,-1.229,0.450,-0.246,4.700,-0.500
14.297,0.1090,0.630,677,366,22,45,147.272,191.998,169.635,3.469,-0.738,0.694,-0.148,4.600,-0.600
14.375,0.0780,0.662,689,372,26,53,124.615,163.017,143.816,4.594,-1.475,0.919,-0.295,5.000,-0.700
14.484,0.1090,0.680,700,390,20,43,162.000,200.928,181.464,5.625,-3.688,1.125,-0.738,5.600,-1.000
14.578,0.0940,0.629,706,385,24,46,135.000,187.824,161.412,6.188,-3.073,1.238,-0.615,6.400,-1.800
14.688,0.1100,0.621,711,357,22,53,147.272,163.017,155.145,6.656,0.369,1.331,0.074,7.200,-2.500
14.781,0.0930,0.586,718,333,24,46,135.000,187.824,161.412,7.312,3.319,1.463,0.664,8.100,-2.100
14.891,0.1100,0.564,715,300,26,44,124.615,196.362,160.489,7.031,7.376,1.406,1.475,9.300,-1.800
14.984,0.0930,0.647,699,244,26,53,124.615,163.017,143.816,5.531,14.259,1.106,2.852,10.700,0.200
15.094,0.1100,0.607,671,230,27,53,120.000,163.017,141.509,2.906,15.980,0.581,3.196,11.500,2.700
15.203,0.1090,0.612,643,246,26,55,124.615,157.090,140.852,0.281,14.014,0.056,2.803,11.700,6.000
15.297,0.0940,0.599,618,244,28,64,115.714,134.999,125.356,-2.062,14.259,-0.413,2.852,11.700,9.600
15.375,0.0780,0.501,605,249,26,62,124.615,139.354,131.984,-3.281,13.645,-0.656,2.729,11.300,12.700
15.484,0.1090,0.404,605,261,26,58,124.615,148.964,136.790,-3.281,12.170,-0.656,2.434,11.000,15.100
15.578,0.0940,0.469,614,274,28,53,115.714,163.017,139.366,-2.438,10.572,-0.488,2.114,10.700,16.600
15.688,0.1100,0.462,626,301,27,54,120.000,159.999,139.999,-1.312,7.253,-0.263,1.451,10.700,18.800
15.797,0.1090,0.500,637,330,26,52,124.615,166.152,145.384,-0.281,3.688,-0.056,0.738,10.800,20.300
15.875,0.0780,0.340,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.900,20.600
15.938,0.0630,0.340,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.800,20.800
15.984,0.0460,0.461,660,377,24,54,135.000,159.999,147.499,1.875,-2.090,0.375,-0.418,10.900,20.700
16.094,0.1100,0.566,675,385,22,54,147.272,159.999,153.635,3.281,-3.073,0.656,-0.615,10.800,20.000
16.188,0.0940,0.582,686,386,21,52,154.285,166.152,160.219,4.312,-3.196,0.863,-0.639,11.300,19.700
16.313,0.1250,0.534,688,377,19,53,170.526,163.017,166.772,4.500,-2.090,0.900,-0.418,11.800,19.000
16.391,0.0780,0.487,690,377,20,54,162.000,159.999,160.999,4.688,-2.090,0.938,-0.418,12.400,18.600
16.484,0.0930,0.469,678,370,19,53,170.526,163.017,166.772,3.562,-1.229,0.713,-0.246,13.100,17.800
16.578,0.0940,0.512,656,359,16,54,202.500,159.999,181.249,1.500,0.123,0.300,0.025,13.400,18.000
16.641,0.0630,0.519,642,352,20,55,162.000,157.090,159.545,0.188,0.983,0.038,0.197,13.400,18.100
16.781,0.1400,0.426,618,329,28,57,115.714,151.578,133.646,-2.062,3.811,-0.413,0.762,13.500,18.900
16.891,0.1100,0.338,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.200,19.100
16.938,0.0470,0.389,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.200,19.100
16.984,0.0460,0.404,609,278,38,52,85.263,166.152,125.708,-2.906,10.080,-0.581,2.016,13.400,19.000
17.094,0.1100,0.524,632,255,28,50,115.714,172.798,144.256,-0.750,12.907,-0.150,2.581,13.400,22.300
17.188,0.0940,0.679,663,268,22,48,147.272,179.998,163.635,2.156,11.309,0.431,2.262,13.500,24.900
17.297,0.1090,0.639,689,306,30,52,108.000,166.152,137.076,4.594,6.638,0.919,1.328,13.200,26.200
17.391,0.0940,0.688,709,353,39,62,83.077,139.354,111.215,6.469,0.860,1.294,0.172,13.800,27.400
17.500,0.1090,0.679,708,397,40,66,81.000,130.908,105.954,6.375,-4.548,1.275,-0.910,14.900,27.300
17.578,0.0780,0.513,686,432,39,72,83.077,119.999,101.538,4.312,-8.851,0.863,-1.770,15.700,26.300
17.688,0.1100,0.621,651,448,27,53,120.000,163.017,141.509,1.031,-10.818,0.206,-2.164,16.000,23.700
17.797,0.1090,0.575,628,462,28,53,115.714,163.017,139.366,-1.125,-12.539,-0.225,-2.508,16.000,22.200
17.875,0.0780,0.612,613,513,28,57,115.714,151.578,133.646,-2.531,-18.808,-0.506,-3.762,16.000,19.100
17.984,0.1090,0.698,599,519,26,53,124.615,163.017,143.816,-3.844,-19.545,-0.769,-3.909,15.800,15.700
18.078,0.0940,0.755,589,512,22,52,147.272,166.152,156.712,-4.781,-18.685,-0.956,-3.737,14.600,10.500
18.188,0.1100,0.720,587,491,21,54,154.285,159.999,157.142,-4.969,-16.103,-0.994,-3.221,14.300,7.500
18.297,0.1090,0.645,588,469,24,53,135.000,163.017,149.009,-4.875,-13.399,-0.975,-2.680,14.700,5.900
18.375,0.0780,0.505,590,449,28,53,115.714,163.017,139.366,-4.688,-10.940,-0.938,-2.188,12.800,1.400
18.484,0.1090,0.559,603,425,29,54,111.724,159.999,135.861,-3.469,-7.990,-0.694,-1.598,13.300,0.400
18.594,0.1100,0.579,630,383,32,82,101.250,105.365,103.307,-0.938,-2.827,-0.188,-0.565,12.700,-0.800
18.688,0.0940,0.617,661,348,35,84,92.571,102.856,97.714,1.969,1.475,0.394,0.295,12.900,-1.300
18.797,0.1090,0.586,677,317,39,86,83.077,100.464,91.770,3.469,5.286,0.694,1.057,13.000,-1.100
18.891,0.0940,0.597,673,295,42,82,77.143,105.365,91.254,3.094,7.990,0.619,1.598,13.400,0.300
19.000,0.1090,0.592,640,288,36,84,90.000,102.856,96.428,0.000,8.851,0.000,1.770,13.700,1.500
19.094,0.0940,0.614,595,287,34,82,95.294,105.365,100.329,-4.219,8.974,-0.844,1.795,13.500,4.200
19.188,0.0940,0.597,547,282,34,84,95.294,102.856,99.075,-8.719,9.588,-1.744,1.918,12.300,6.300
19.297,0.1090,0.585,498,305,30,57,108.000,151.578,129.789,-13.312,6.761,-2.663,1.352,11.600,7.300
19.375,0.0780,0.482,470,305,34,57,95.294,151.578,123.436,-15.938,6.761,-3.188,1.352,9.100,8.700
19.484,0.1090,0.461,468,307,34,57,95.294,151.578,123.436,-16.125,6.515,-3.225,1.303,6.400,10.300
19.594,0.1100,0.456,480,317,34,53,95.294,163.017,129.156,-15.000,5.286,-3.000,1.057,3.600,11.800
19.688,0.0940,0.448,510,328,45,63,72.000,137.142,104.571,-12.188,3.934,-2.438,0.787,0.900,12.900
19.797,0.1090,0.467,547,344,50,64,64.800,134.999,99.899,-8.719,1.967,-1.744,0.393,-0.800,13.700
19.891,0.0940,0.468,595,359,46,65,70.435,132.922,101.678,-4.219,0.123,-0.844,0.025,-2.000,14.100
20.000,0.1090,0.518,648,359,52,89,62.308,97.078,79.693,0.750,0.123,0.150,0.025,-2.500,14.200
20.063,0.0630,0.513,679,370,46,67,70.435,128.954,99.694,3.656,-1.229,0.731,-0.246,-2.100,14.000
20.188,0.1250,0.601,744,359,44,82,73.636,105.365,89.501,9.750,0.123,1.950,0.025,-2.100,13.900
20.297,0.1090,0.554,801,333,46,82,70.435,105.365,87.900,15.094,3.319,3.019,0.664,-0.600,13.900
20.391,0.0940,0.547,835,325,46,82,70.435,105.365,87.900,18.281,4.302,3.656,0.860,1.800,14.400
20.484,0.0930,0.532,859,354,54,84,60.000,102.856,81.428,20.531,0.738,4.106,0.148,5.800,15.000
20.594,0.1100,0.535,853,364,54,84,60.000,102.856,81.428,19.969,-0.492,3.994,-0.098,9.200,14.600
20.688,0.0940,0.511,816,348,52,88,62.308,98.181,80.244,16.500,1.475,3.300,0.295,13.400,14.800
20.813,0.1250,0.567,753,357,54,82,60.000,105.365,82.682,10.594,0.369,2.119,0.074,15.600,14.700
20.891,0.0780,0.567,719,354,46,83,70.435,104.095,87.265,7.406,0.738,1.481,0.148,17.700,14.700
20.984,0.0930,0.589,657,355,50,86,64.800,100.464,82.632,1.594,0.615,0.319,0.123,18.600,14.800
21.078,0.0940,0.651,587,371,43,82,75.349,105.365,90.357,-4.969,-1.352,-0.994,-0.270,18.600,14.900
21.188,0.1100,0.584,521,370,50,84,64.800,102.856,83.828,-11.156,-1.229,-2.231,-0.246,17.900,14.600
21.281,0.0930,0.561,474,363,47,82,68.936,105.365,87.150,-15.563,-0.369,-3.113,-0.074,15.800,14.400
21.391,0.1100,0.534,460,363,46,74,70.435,116.756,93.595,-16.875,-0.369,-3.375,-0.074,13.200,14.700
21.484,0.0930,0.510,470,360,47,72,68.936,119.999,94.467,-15.938,-0.000,-3.188,0.000,9.800,14.700
21.578,0.0940,0.523,503,359,46,73,70.435,118.355,94.395,-12.844,0.123,-2.569,0.025,7.100,14.900
21.688,0.1100,0.534,549,359,45,69,72.000,125.216,98.608,-8.531,0.123,-1.706,0.025,5.000,14.900
21.797,0.1090,0.546,606,359,47,65,68.936,132.922,100.929,-3.188,0.123,-0.638,0.025,3.500,15.100
22.000,0.2030,0.532,723,340,30,55,108.000,157.090,132.545,7.781,2.459,1.556,0.492,3.500,15.100
22.094,0.0940,0.545,746,308,48,88,67.500,98.181,82.840,9.938,6.392,1.988,1.278,5.100,16.300
22.188,0.0940,0.581,735,291,46,86,70.435,100.464,85.449,8.906,8.482,1.781,1.696,7.300,17.800
22.297,0.1090,0.573,697,296,46,80,70.435,107.999,89.217,5.344,7.867,1.069,1.573,7.900,18.300
22.391,0.0940,0.616,638,304,28,48,115.714,179.998,147.856,-0.188,6.884,-0.038,1.377,8.800,21.000
22.484,0.0930,0.591,599,339,30,78,108.000,110.768,109.384,-3.844,2.581,-0.769,0.516,8.400,21.600
22.609,0.1250,0.541,576,368,28,48,115.714,179.998,147.856,-6.000,-0.983,-1.200,-0.197,8.500,21.600
22.703,0.0940,0.509,573,367,22,42,147.272,205.712,176.492,-6.281,-0.860,-1.256,-0.172,7.600,21.600
22.781,0.0780,0.512,585,368,26,43,124.615,200.928,162.772,-5.156,-0.983,-1.031,-0.197,6.700,21.400
22.891,0.1100,0.509,600,372,25,43,129.600,200.928,165.264,-3.750,-1.475,-0.750,-0.295,6.000,21.300
22.984,0.0930,0.520,613,373,26,45,124.615,191.998,158.307,-2.531,-1.598,-0.506,-0.320,5.600,21.000
23.078,0.0940,0.537,625,370,26,43,124.615,200.928,162.772,-1.406,-1.229,-0.281,-0.246,5.500,20.500
23.188,0.1100,0.524,636,353,28,66,115.714,130.908,123.311,-0.375,0.860,-0.075,0.172,5.500,20.600
23.281,0.0930,0.534,646,347,28,66,115.714,130.908,123.311,0.562,1.598,0.113,0.320,5.600,20.900
23.375,0.0940,0.525,656,345,28,66,115.714,130.908,123.311,1.500,1.844,0.300,0.369,5.600,21.400
23.484,0.1090,0.508,665,349,30,66,108.000,130.908,119.454,2.344,1.352,0.469,0.270,5.500,21.600
23.578,0.0940,0.597,677,364,30,72,108.000,119.999,113.999,3.469,-0.492,0.694,-0.098,6.200,21.700
