t_s,dt_s,conf,cx,cy,size_x,size_y,dist_x_cm,dist_y_cm,dist_avg_cm,yaw_err_deg,pitch_err_deg,pid_yaw,pid_pitch,yaw_out_deg,pitch_out_deg
0.313,0.3130,0.622,770,315,44,82,73.636,105.365,89.501,12.188,5.532,2.438,1.106,2.200,0.000
0.531,0.2180,0.671,685,361,39,69,83.077,125.216,104.147,4.219,-0.123,0.844,-0.025,2.500,-0.100
0.703,0.1720,0.599,617,363,34,66,95.294,130.908,113.101,-2.156,-0.369,-0.431,-0.074,2.600,-0.200
0.781,0.0780,0.575,607,363,35,66,92.571,130.908,111.740,-3.094,-0.369,-0.619,-0.074,2.600,-0.400
0.875,0.0940,0.602,613,364,35,67,92.571,128.954,110.763,-2.531,-0.492,-0.506,-0.098,2.500,-0.400
0.984,0.1090,0.658,630,367,34,69,95.294,125.216,110.255,-0.938,-0.860,-0.188,-0.172,2.300,-0.500
1.094,0.1100,0.660,647,369,38,69,85.263,125.216,105.240,0.656,-1.106,0.131,-0.221,2.300,-0.700
1.188,0.0940,0.658,669,370,42,71,77.143,121.689,99.416,2.719,-1.229,0.544,-0.246,2.300,-1.000
1.281,0.0930,0.616,699,370,44,75,73.636,115.199,94.418,5.531,-1.229,1.106,-0.246,2.500,-1.100
1.391,0.1100,0.616,723,330,46,80,70.435,107.999,89.217,7.781,3.688,1.556,0.738,3.200,-1.300
1.484,0.0930,0.611,738,325,48,79,67.500,109.366,88.433,9.188,4.302,1.838,0.860,4.600,-0.700
1.578,0.0940,0.619,743,330,49,81,66.122,106.666,86.394,9.656,3.688,1.931,0.738,6.800,0.700
1.672,0.0940,0.629,745,339,47,82,68.936,105.365,87.150,9.844,2.581,1.969,0.516,7.600,0.800
1.797,0.1250,0.639,739,347,46,82,70.435,105.365,87.900,9.281,1.598,1.856,0.320,9.300,1.600
1.891,0.0940,0.631,731,357,46,79,70.435,109.366,89.900,8.531,0.369,1.706,0.074,11.800,1.500
1.984,0.0930,0.633,720,361,47,79,68.936,109.366,89.151,7.500,-0.123,1.500,-0.025,12.900,1.400
2.078,0.0940,0.609,713,360,45,81,72.000,106.666,89.333,6.844,-0.000,1.369,0.000,13.500,1.400
2.188,0.1100,0.604,713,359,45,79,72.000,109.366,90.683,6.844,0.123,1.369,0.025,14.500,1.300
2.281,0.0930,0.597,708,357,46,78,70.435,110.768,90.601,6.375,0.369,1.275,0.074,15.700,1.300
2.391,0.1100,0.616,697,354,45,81,72.000,106.666,89.333,5.344,0.738,1.069,0.148,16.500,1.400
2.484,0.0930,0.640,681,356,42,80,77.143,107.999,92.571,3.844,0.492,0.769,0.098,17.400,1.500
2.578,0.0940,0.669,656,360,40,82,81.000,105.365,93.182,1.500,-0.000,0.300,0.000,17.900,1.600
2.656,0.0780,0.673,639,364,38,84,85.263,102.856,94.060,-0.094,-0.492,-0.019,-0.098,18.000,1.500
2.781,0.1250,0.660,601,369,37,82,87.567,105.365,96.466,-3.656,-1.106,-0.731,-0.221,17.900,1.400
2.891,0.1100,0.658,567,371,34,79,95.294,109.366,102.330,-6.844,-1.352,-1.369,-0.270,17.500,1.200
3.000,0.1090,0.627,537,369,34,79,95.294,109.366,102.330,-9.656,-1.106,-1.931,-0.221,16.400,0.900
3.094,0.0940,0.633,518,364,35,77,92.571,112.207,102.389,-11.438,-0.492,-2.288,-0.098,15.100,0.800
3.188,0.0940,0.612,503,401,30,74,108.000,116.756,112.378,-12.844,-5.040,-2.569,-1.008,13.300,0.500
3.297,0.1090,0.626,501,397,31,73,104.516,118.355,111.436,-13.031,-4.548,-2.606,-0.910,10.800,0.000
3.391,0.0940,0.590,505,381,32,73,101.250,118.355,109.802,-12.656,-2.581,-2.531,-0.516,8.500,-0.900
3.484,0.0930,0.598,512,365,33,73,98.182,118.355,108.268,-12.000,-0.615,-2.400,-0.123,6.600,-1.400
3.578,0.0940,0.563,517,354,34,75,95.294,115.199,105.246,-11.531,0.738,-2.306,0.148,3.800,-1.200
3.688,0.1100,0.599,525,347,35,73,92.571,118.355,105.463,-10.781,1.598,-2.156,0.320,2.400,-0.700
3.797,0.1090,0.617,537,304,41,77,79.024,112.207,95.616,-9.656,6.884,-1.931,1.377,0.800,-0.600
3.891,0.0940,0.610,546,345,44,73,73.636,118.355,95.996,-8.812,1.844,-1.763,0.369,-0.500,0.900
3.984,0.0930,0.624,557,359,38,73,85.263,118.355,101.809,-7.781,0.123,-1.556,0.025,-1.800,1.100
4.078,0.0940,0.667,569,363,39,73,83.077,118.355,100.716,-6.656,-0.369,-1.331,-0.074,-2.900,1.100
4.188,0.1100,0.664,587,361,42,73,77.143,118.355,97.749,-4.969,-0.123,-0.994,-0.025,-3.900,1.000
4.281,0.0930,0.630,591,362,42,75,77.143,115.199,96.171,-4.594,-0.246,-0.919,-0.049,-4.400,1.100
