t_s,dt_s,conf,cx,cy,size_x,size_y,dist_x_cm,dist_y_cm,dist_avg_cm,yaw_err_deg,pitch_err_deg,pid_yaw,pid_pitch,yaw_out_deg,pitch_out_deg
0.016,0.0160,0.482,299,200,22,32,147.272,269.998,208.635,-31.969,19.668,-6.394,3.934,0.100,-1.000
0.250,0.2340,0.252,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.700,2.800
0.297,0.0470,0.329,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.500,3.000
0.359,0.0620,0.463,384,250,16,25,202.500,345.597,274.048,-24.000,13.522,-4.800,2.704,-5.500,2.900
0.484,0.1250,0.153,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.700,5.400
0.547,0.0630,0.186,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,5.700
0.609,0.0620,0.262,,,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,5.700
