ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-09-24T11:34:07,0,0,,0,,0
2025-09-24T11:34:09,1,0,0,,1,
2025-09-24T11:34:14,1,1,,0,,0
2025-09-24T11:34:16,2,1,1,,1,
2025-09-24T11:34:25,0,1,1,,1,
