ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-09-24T11:52:21,0,0,1517.0,1000.0,1000.0,1000.0
2025-09-24T11:52:24,0,1,819.0,1000.0,,1000.0
2025-09-24T11:52:35,1,1,100.0,137.0,100.0,
