cell1_x,cell1_y,cell2_x,cell2_y
-1,0,0,0
0,-1,0,0
0,0,0,1
1,-1,1,0
1,0,1,1
1,0,2,0
2,-1,2,0
2,0,2,1
2,0,3,0
