step,grid_x,grid_y
0,0,0
1,0,1
2,-1,1
3,-2,1
4,-2,2
5,-2,3
6,-3,3
7,-3,2
8,-3,1
9,-4,1
10,-4,0
11,-3,0
12,-2,0
13,-1,0
14,-2,0
15,-3,0
16,-4,0
17,-4,1
18,-4,2
19,-4,1
20,-3,1
21,-3,2
22,-3,3
23,-4,3
