ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-12T13:21:39,0,0,181,1205,159,111
2025-08-12T13:21:52,1,0,54,833,138,
2025-08-12T13:22:07,2,0,185,205,195,
