step,grid_x,grid_y
0,2,0
1,2,1
2,2,2
3,2,3
4,3,3
5,3,4
6,3,5
7,2,5
8,1,5
9,1,6
10,2,6
11,3,6
12,4,6
13,5,6
14,6,6
15,6,5
16,6,4
17,5,4
18,4,4
19,4,5
20,5,5
21,5,4
22,6,4
23,6,5
24,6,6
25,5,6
26,4,6
27,3,6
28,2,6
29,1,6
30,0,6
31,0,5
32,0,4
33,1,4
34,2,4
35,1,4
36,0,4
37,0,3
38,0,2
39,0,1
40,1,1
41,1,0
42,0,0
43,0,1
44,1,1
45,1,2
46,1,3
47,2,3
48,3,3
49,4,3
50,5,3
51,5,2
52,5,1
53,4,1
54,3,1
55,3,2
56,4,2
57,4,1
58,4,0
59,5,0
60,6,0
61,6,1
62,6,2
63,6,1
64,6,0
65,5,0
66,4,0
