timestamp,pos_x_m,pos_y_m,pos_z_m,att_yaw_deg,att_pitch_deg,att_roll_deg,tof_distance_mm
2025-09-24T11:30:46.980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T11:30:47.083,0.0,0.0,0.0,0.23,0.03,-0.61,1604.0
2025-09-24T11:30:47.192,3e-05,0.0,0.0,0.23,0.03,-0.61,1604.0
2025-09-24T11:30:47.295,-2e-05,-1e-05,0.0,0.23,0.04,-0.61,1612.0
2025-09-24T11:30:47.395,-3e-05,-3e-05,0.0,0.23,0.03,-0.61,1612.0
2025-09-24T11:30:47.496,0.0,-4e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:47.598,-3e-05,-2e-05,0.0,0.23,0.03,-0.61,1607.0
2025-09-24T11:30:47.699,-1e-05,-1e-05,0.0,0.23,0.03,-0.61,1607.0
2025-09-24T11:30:47.801,1e-05,-5e-05,0.0,0.23,0.03,-0.61,1607.0
2025-09-24T11:30:47.912,2e-05,-4e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:48.023,1e-05,-3e-05,0.0,0.23,0.03,-0.61,1613.0
2025-09-24T11:30:48.133,-3e-05,-2e-05,0.0,0.23,0.03,-0.61,1613.0
2025-09-24T11:30:48.243,-0.0,-2e-05,0.0,0.23,0.03,-0.61,1613.0
2025-09-24T11:30:48.346,-4e-05,-2e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:48.451,-4e-05,-2e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:48.561,-3e-05,-1e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:48.667,-3e-05,-3e-05,0.0,0.23,0.03,-0.61,1611.0
2025-09-24T11:30:48.775,-4e-05,-2e-05,0.0,0.23,0.03,-0.61,1615.0
2025-09-24T11:30:48.885,-5e-05,-4e-05,0.0,0.23,0.03,-0.61,1615.0
2025-09-24T11:30:48.995,-3e-05,-7e-05,0.0,0.23,0.03,-0.61,1615.0
2025-09-24T11:30:49.101,-5e-05,-8e-05,0.0,0.23,0.03,-0.61,1614.0
2025-09-24T11:30:49.211,-6e-05,-6e-05,0.0,0.23,0.03,-0.61,1614.0
2025-09-24T11:30:49.321,-2e-05,0.0,0.0,4.02,-0.02,-0.62,1616.0
2025-09-24T11:30:49.422,-0.00107,-0.00395,0.0,11.16,-0.01,-0.59,1618.0
2025-09-24T11:30:49.531,-0.0012,-0.00391,0.0,19.15,-0.0,-0.52,1618.0
2025-09-24T11:30:49.636,-0.00054,-0.0039,0.0,27.0,0.01,-0.52,1618.0
2025-09-24T11:30:49.744,0.00066,-0.00289,0.0,34.67,-0.01,-0.46,1618.0
2025-09-24T11:30:49.849,0.00164,-0.00116,0.0,42.46,-0.01,-0.48,1618.0
2025-09-24T11:30:49.964,0.00173,-0.00148,0.0,51.17,-0.01,-0.42,1618.0
2025-09-24T11:30:50.069,0.00183,-0.0005,0.0,58.72,0.01,-0.4,1620.0
2025-09-24T11:30:50.180,0.00284,-0.00015,0.0,67.75,0.01,-0.4,1620.0
2025-09-24T11:30:50.291,0.00239,0.00148,0.0,74.43,-0.02,-0.35,1624.0
2025-09-24T11:30:50.402,0.00162,0.00247,0.0,79.87,-0.02,-0.28,1624.0
2025-09-24T11:30:50.506,0.00129,0.00323,0.0,84.0,-0.01,-0.28,1624.0
2025-09-24T11:30:50.617,0.00026,0.00286,0.0,86.51,0.01,-0.29,1623.0
2025-09-24T11:30:50.725,-0.00033,0.00295,0.0,88.41,-0.0,-0.29,1625.0
2025-09-24T11:30:50.831,-0.0011,0.00208,0.0,89.55,-0.02,-0.28,1623.0
2025-09-24T11:30:50.933,-0.0015,0.00138,0.0,90.12,-0.02,-0.28,1620.0
2025-09-24T11:30:51.035,-0.00178,0.00183,0.0,90.28,-0.01,-0.27,887.0
2025-09-24T11:30:51.146,-0.00181,0.00223,0.0,90.62,0.01,-0.26,218.0
2025-09-24T11:30:51.249,-0.00165,0.00206,0.0,90.61,0.01,-0.26,121.0
2025-09-24T11:30:51.354,-0.00169,0.00283,0.0,90.64,0.02,-0.26,114.0
2025-09-24T11:30:51.457,-0.00135,0.00343,0.0,90.65,0.02,-0.25,111.0
2025-09-24T11:30:51.564,-0.00111,0.00404,0.0,90.66,0.02,-0.25,109.0
2025-09-24T11:30:51.665,-0.00084,0.00455,0.0,90.67,0.02,-0.25,106.0
