ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-12T13:23:59,0,0,157,1142,135,124
2025-08-12T13:24:13,1,0,21,830,132,
2025-08-12T13:24:23,2,0,17,159,162,
