ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-11T16:55:15,0,0,1514,176,199,167
2025-08-11T16:55:30,0,1,937,1560,,75
2025-08-11T16:55:48,1,1,150,981,183,
2025-08-11T16:56:00,2,1,804,335,227,
2025-08-11T16:56:20,2,2,163,306,,1776
2025-08-11T16:56:38,1,2,234,,183,1518
2025-08-11T16:56:48,0,2,281,,1033,944
2025-08-11T16:57:04,-1,2,274,,323,287
