timestamp,pos_x_m,pos_y_m,pos_z_m,att_yaw_deg,att_pitch_deg,att_roll_deg,tof_distance_mm,detected_markers
2025-09-24T11:49:13.762,0.0,0.0,0.0,0.0,0.0,0.0,143.0,
2025-09-24T11:49:13.878,-2e-05,-0.0,0.0,-0.79,0.54,-0.46,143.0,
2025-09-24T11:49:13.984,-2e-05,-1e-05,0.0,-0.8,0.53,-0.46,144.0,
2025-09-24T11:49:14.093,-3e-05,-6e-05,0.0,-0.79,0.53,-0.46,144.0,
2025-09-24T11:49:14.204,-3e-05,-6e-05,0.0,-0.79,0.54,-0.46,144.0,
2025-09-24T11:49:14.309,-3e-05,-3e-05,0.0,-0.79,0.54,-0.46,145.0,
2025-09-24T11:49:14.412,-1e-05,-3e-05,0.0,-0.79,0.53,-0.46,145.0,
2025-09-24T11:49:14.517,-3e-05,-0.0,0.0,-0.79,0.54,-0.46,144.0,
2025-09-24T11:49:14.621,-3e-05,4e-05,0.0,-0.79,0.54,-0.46,144.0,
2025-09-24T11:49:14.726,-3e-05,8e-05,0.0,-0.8,0.54,-0.46,144.0,
2025-09-24T11:49:14.829,-4e-05,7e-05,0.0,-0.8,0.54,-0.46,143.0,
2025-09-24T11:49:14.934,-5e-05,7e-05,0.0,-0.79,0.54,-0.46,143.0,
2025-09-24T11:49:15.037,-5e-05,8e-05,0.0,-0.8,0.54,-0.46,143.0,
2025-09-24T11:49:15.140,-0.0001,9e-05,0.0,-0.79,0.54,-0.46,143.0,
2025-09-24T11:49:15.245,-8e-05,9e-05,0.0,-0.79,0.54,-0.46,143.0,
2025-09-24T11:49:15.350,-7e-05,6e-05,0.0,-0.8,0.53,-0.46,143.0,
2025-09-24T11:49:15.454,-0.00012,9e-05,0.0,-0.8,0.54,-0.46,144.0,
2025-09-24T11:49:15.558,-9e-05,8e-05,0.0,-0.79,0.54,-0.47,143.0,
2025-09-24T11:49:15.662,-9e-05,9e-05,0.0,-0.8,0.54,-0.46,143.0,
2025-09-24T11:49:15.767,-9e-05,9e-05,0.0,-0.79,0.54,-0.46,143.0,
2025-09-24T11:49:15.870,-9e-05,1e-05,0.0,-0.8,0.53,-0.46,143.0,
2025-09-24T11:49:15.975,1e-05,-7e-05,0.0,-0.86,0.53,-0.46,143.0,
2025-09-24T11:49:16.079,0.00069,0.00038,0.0,-0.83,0.54,-0.46,143.0,
