angle,tof,timestamp
0,0,2025-07-23 10:12:06.403682
0,0,2025-07-23 10:12:06.457567
0,657,2025-07-23 10:12:06.518796
0,654,2025-07-23 10:12:06.581150
0,656,2025-07-23 10:12:06.643744
0,655,2025-07-23 10:12:06.705456
0,654,2025-07-23 10:12:06.766822
0,658,2025-07-23 10:12:06.828160
0,655,2025-07-23 10:12:06.889961
0,656,2025-07-23 10:12:06.952278
0,658,2025-07-23 10:12:07.014672
0,658,2025-07-23 10:12:07.076144
0,658,2025-07-23 10:12:07.138700
0,657,2025-07-23 10:12:07.200746
0,656,2025-07-23 10:12:07.262593
0,656,2025-07-23 10:12:07.326152
0,656,2025-07-23 10:12:07.387557
0,655,2025-07-23 10:12:07.449787
0,655,2025-07-23 10:12:07.512166
0,656,2025-07-23 10:12:07.574698
0,657,2025-07-23 10:12:07.636465
0,654,2025-07-23 10:12:07.697810
0,655,2025-07-23 10:12:07.759454
0,656,2025-07-23 10:12:07.821674
0,655,2025-07-23 10:12:07.884254
0,657,2025-07-23 10:12:07.946724
0,658,2025-07-23 10:12:08.009031
0,656,2025-07-23 10:12:08.071912
0,655,2025-07-23 10:12:08.134212
0,656,2025-07-23 10:12:08.197612
0,655,2025-07-23 10:12:08.259153
0,658,2025-07-23 10:12:08.321227
0,658,2025-07-23 10:12:08.383697
0,655,2025-07-23 10:12:08.446153
0,657,2025-07-23 10:12:08.508027
0,655,2025-07-23 10:12:08.570635
0,656,2025-07-23 10:12:08.632627
0,656,2025-07-23 10:12:08.694614
0,656,2025-07-23 10:12:08.755685
0,657,2025-07-23 10:12:08.818087
0,657,2025-07-23 10:12:08.880699
0,657,2025-07-23 10:12:08.942367
0,659,2025-07-23 10:12:09.005735
0,655,2025-07-23 10:12:09.068038
0,657,2025-07-23 10:12:09.130078
0,655,2025-07-23 10:12:09.192886
0,655,2025-07-23 10:12:09.254183
0,655,2025-07-23 10:12:09.316787
0,654,2025-07-23 10:12:09.378553
0,656,2025-07-23 10:12:09.440891
0,656,2025-07-23 10:12:09.502375
