ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-09-24T11:31:26,0,0,0,,0,
2025-09-24T11:31:29,0,1,,0,,0
2025-09-24T11:31:31,1,1,1,,1,
