ts,grid_x,grid_y,N_mm,E_mm,S_mm,W_mm
2025-08-12T13:38:14,0,0,171,989,162,157
2025-08-12T13:38:25,1,0,176,809,170,
2025-08-12T13:38:34,2,0,151,189,195,
