timestamp,x_pos,y_pos,current_distance,error,control_speed
1752725110.694037,-6e-05,6e-05,8.48528137423857e-05,1.9999151471862575,1.9999151471862575
1752725110.7248464,-6e-05,3e-05,6.708203932499369e-05,1.999932917960675,1.999932917960675
1752725110.755337,-6e-05,4e-05,7.211102550927979e-05,1.9999278889744907,1.9999278889744907
1752725110.787411,-6e-05,4e-05,7.211102550927979e-05,1.9999278889744907,1.9999278889744907
1752725110.8187191,-1e-05,5e-05,5.099019513592785e-05,1.999949009804864,1.999949009804864
1752725110.84864,0.00136,0.00013,0.0013661991070118588,1.998633800892988,1.998633800892988
1752725110.8802726,0.00331,0.00028,0.0033218217893198304,1.9966781782106802,1.9966781782106802
1752725110.9104757,0.01225,0.00026,0.01225275887300489,1.9877472411269952,1.9877472411269952
1752725110.9418583,0.01981,8e-05,0.01981016153391991,1.98018983846608,1.98018983846608
1752725110.9733772,0.0545,0.00108,0.05451069986709031,1.9454893001329097,1.9454893001329097
1752725111.0051923,0.06922,0.00099,0.0692270792392688,1.9307729207607311,1.9307729207607311
1752725111.035818,0.06922,0.00099,0.0692270792392688,1.9307729207607311,1.9307729207607311
1752725111.066165,0.12099,0.00201,0.12100669485611117,1.8789933051438887,1.8789933051438887
1752725111.0976534,0.15801,0.00305,0.15803943368665938,1.8419605663133407,1.8419605663133407
1752725111.1277504,0.19504,0.00476,0.19509807584904573,1.8049019241509543,1.8049019241509543
1752725111.1582365,0.19504,0.00476,0.19509807584904573,1.8049019241509543,1.8049019241509543
1752725111.189245,0.27036,0.00831,0.27048768123520894,1.7295123187647912,1.7295123187647912
1752725111.2201483,0.27036,0.00831,0.27048768123520894,1.7295123187647912,1.7295123187647912
1752725111.2506592,0.32648,0.01032,0.32664306635837226,1.6733569336416276,1.6733569336416276
1752725111.2819521,0.32648,0.01032,0.32664306635837226,1.6733569336416276,1.6733569336416276
1752725111.3135424,0.36248,0.011,0.362646867351698,1.637353132648302,1.637353132648302
1752725111.3442855,0.37984,0.01138,0.38001043406727664,1.6199895659327233,1.6199895659327233
1752725111.3750992,0.39676,0.01174,0.3969336533981466,1.6030663466018533,1.6030663466018533
1752725111.4056816,0.42923,0.01263,0.4294157773067962,1.5705842226932039,1.5705842226932039
1752725111.4366536,0.44462,0.01305,0.4448114734356568,1.5551885265643433,1.5551885265643433
1752725111.4682996,0.48914,0.01433,0.4893498630836633,1.5106501369163368,1.5106501369163368
1752725111.4985116,0.48914,0.01433,0.4893498630836633,1.5106501369163368,1.5106501369163368
1752725111.529974,0.53249,0.0154,0.5327126430825535,1.4672873569174465,1.4672873569174465
1752725111.5614314,0.53249,0.0154,0.5327126430825535,1.4672873569174465,1.4672873569174465
1752725111.5922418,0.57696,0.01647,0.5771950298642566,1.4228049701357435,1.4228049701357435
1752725111.6229558,0.57696,0.01647,0.5771950298642566,1.4228049701357435,1.4228049701357435
1752725111.653621,0.62391,0.01739,0.6241523052909441,1.3758476947090559,1.3758476947090559
1752725111.6844869,0.64004,0.01776,0.6402863571871573,1.3597136428128427,1.3597136428128427
1752725111.7153585,0.67331,0.0184,0.6735613677312557,1.3264386322687443,1.3264386322687443
1752725111.746155,0.69033,0.01891,0.6905889493758208,1.3094110506241792,1.3094110506241792
1752725111.7770593,0.72433,0.01934,0.724588148191785,1.2754118518082151,1.2754118518082151
1752725111.8085146,0.75797,0.01999,0.7582335530692373,1.2417664469307628,1.2417664469307628
1752725111.8385408,0.77441,0.02034,0.774677070591353,1.225322929408647,1.225322929408647
1752725111.8696704,0.8073,0.02085,0.8075691998212908,1.1924308001787092,1.1924308001787092
1752725111.8996084,0.82322,0.02116,0.8234919028138649,1.1765080971861352,1.1765080971861352
1752725111.9301064,0.87009,0.02207,0.8703698598871632,1.1296301401128368,1.1296301401128368
1752725111.961125,0.88539,0.02215,0.8856670224186965,1.1143329775813036,1.1143329775813036
1752725111.9924412,0.91618,0.02278,0.9164631584521006,1.0835368415478994,1.0835368415478994
1752725112.0237856,0.93148,0.02296,0.9317629269293772,1.0682370730706228,1.0682370730706228
1752725112.054576,0.94708,0.02314,0.9473626475642789,1.052637352435721,1.052637352435721
1752725112.0852613,0.96262,0.0234,0.9629043692911566,1.0370956307088433,1.0370956307088433
1752725112.1166768,1.00974,0.02392,1.01002328389003,0.98997671610997,0.98997671610997
1752725112.1471179,1.042,0.02457,1.0422896358018725,0.9577103641981275,0.9577103641981275
1752725112.178233,1.042,0.02457,1.0422896358018725,0.9577103641981275,0.9577103641981275
1752725112.2089887,1.09067,0.02535,1.0909645601026645,0.9090354398973355,0.9090354398973355
1752725112.2397575,1.10675,0.02578,1.1070502115532066,0.8929497884467934,0.8929497884467934
1752725112.2697506,1.13937,0.02659,1.1396802292748611,0.8603197707251389,0.8603197707251389
1752725112.301119,1.15549,0.02676,1.1557998259646867,0.8442001740353133,0.8442001740353133
1752725112.3312178,1.18736,0.02735,1.1876749522070422,0.8123250477929578,0.8123250477929578
1752725112.3611553,1.20334,0.02759,1.203656248145624,0.7963437518543759,0.7963437518543759
1752725112.3921766,1.23503,0.02803,1.2353480407561264,0.7646519592438736,0.7646519592438736
1752725112.423936,1.25076,0.0284,1.251082386415859,0.7489176135841411,0.7489176135841411
1752725112.4550583,1.28221,0.02916,1.2825415352728349,0.7174584647271651,0.7174584647271651
1752725112.4855678,1.28221,0.02916,1.2825415352728349,0.7174584647271651,0.7174584647271651
1752725112.5161119,1.32876,0.02972,1.3290923278689106,0.6709076721310894,0.6709076721310894
