timestamp,position_x,position_y,position_z
18.68,0.03045,0.0873,0.0
18.78,0.02766,0.05424,0.0
18.88,0.0238,0.03478,0.0
18.99,0.02262,0.01745,0.0
19.1,0.02263,0.00455,0.0
19.2,0.02353,0.01519,0.0
19.3,0.02525,0.02434,0.0
19.4,0.02513,0.02731,0.0
19.5,0.02435,0.0233,0.0
19.6,0.02449,0.01863,0.0
19.7,0.02506,0.01862,0.0
19.8,0.02538,0.02179,0.0
19.91,0.02528,0.02145,0.0
20.0,0.02541,0.01846,0.0
20.11,0.02497,0.01727,0.0
20.21,0.02491,0.01907,0.0
20.31,0.02538,0.02094,0.0
20.4,0.02576,0.02027,0.0
20.52,0.02605,0.01895,0.0
20.62,0.02551,0.0186,0.0
20.72,0.02613,0.01859,0.0
20.82,0.02664,0.01884,0.0
20.92,0.02688,0.01902,0.0
21.02,0.02724,0.01866,0.0
