timestamp,action,target_dist,current_x,current_y,current_dist,error_x,output_x,error_y,output_y,target_angle,current_yaw,error_angle,output_z
1754558870.281661,move_straight,0.6,-0.0001,-0.00041,0.0,0.6,0.7,0.0,0.0,,,,
1754558870.312166,move_straight,0.6,-9e-05,-0.00041,9.999999999999999e-06,0.59999,0.7,2.26651307436855e-06,-1.3096269206806042e-05,,,,
1754558870.3431282,move_straight,0.6,-9e-05,-0.00041,9.999999999999999e-06,0.59999,0.7,2.26651307436855e-06,-5.6662826859213745e-06,,,,
1754558870.3746984,move_straight,0.6,-8e-05,-0.0004,2.236067977499788e-05,0.599977639320225,0.7,1.427278582152759e-05,-7.371236730917158e-05,,,,
1754558870.4051123,move_straight,0.6,0.00081,-0.00061,0.0009317188417113823,0.5990682811582886,0.7,1.1457496311727754e-05,-1.9387142141674664e-05,,,,
1754558870.435727,move_straight,0.6,0.00213,-0.00115,0.0023495744295510194,0.597650425570449,0.7,-0.00021530980020231154,0.0012789903328498263,,,,
1754558870.4660332,move_straight,0.6,0.00874,-0.00311,0.009243137995291426,0.5907568620047086,0.7,-0.0006261375539116415,0.002920927448111276,,,,
1754558870.4971128,move_straight,0.6,0.01449,-0.00487,0.01525646420374,0.5847435357962599,0.7,-0.0010370902385608565,0.003914987146633383,,,,
1754558870.528131,move_straight,0.6,0.03286,-0.01031,0.034414700347380624,0.5655852996526194,0.7,-0.002171934982943869,0.009088472238869778,,,,
1754558870.5597305,move_straight,0.6,0.0594,-0.01673,0.061697588283497765,0.5383024117165022,0.7,-0.002409534993501246,0.006775747633808835,,,,
1754558870.590588,move_straight,0.6,0.07476,-0.01984,0.07734044543445556,0.5226595545655444,0.7,-0.0019572361695090086,0.003427327156217364,,,,
1754558870.6220949,move_straight,0.6,0.10824,-0.02625,0.11137890823670342,0.48862109176329654,0.7,-0.0006121363467818212,-0.0027388988297998174,,,,
1754558870.6521099,move_straight,0.6,0.12519,-0.03038,0.12882462885644186,0.4711753711435581,0.7,-0.0007929174305896167,0.0025845962032806473,,,,
1754558870.6824808,move_straight,0.6,0.16012,-0.03798,0.16456595425542914,0.43543404574457084,0.7,-0.00027820461314105593,-0.0009992421893876306,,,,
1754558870.7129095,move_straight,0.6,0.17765,-0.04196,0.18254168017195416,0.4174583198280458,0.7,-0.00018143154354361563,0.00013554609705720847,,,,
1754558870.7431636,move_straight,0.6,0.21243,-0.04971,0.21817307556158252,0.3818269244384175,0.7,0.00015318718269755754,-0.0014889947205630023,,,,
1754558870.7731082,move_straight,0.6,0.22933,-0.05378,0.23555568725887305,0.36444431274112693,0.7,1.9512091554652056e-05,0.00039762690622093856,,,,
1754558870.8037176,move_straight,0.6,0.26167,-0.06161,0.2688288914904795,0.3311711085095205,0.609329693336728,-0.00027681644973241715,0.0016601386326338193,,,,
1754558870.8350544,move_straight,0.6,0.26167,-0.06161,0.2688288914904795,0.3311711085095205,0.6637329217005004,-0.00027681644973241715,0.0006920411243310429,,,,
1754558870.864881,move_straight,0.6,0.30519,-0.07226,0.3136310038883274,0.2863689961116726,0.499067217351959,-0.0007857956016023987,0.003670947168227889,,,,
1754558870.8958209,move_straight,0.6,0.31817,-0.07538,0.3269805709824362,0.27301942901756376,0.525941063766603,-0.0008826666489826634,0.0025197617064979575,,,,
1754558870.9257402,move_straight,0.6,0.34204,-0.08092,0.35148490678832855,0.24851509321167142,0.4575924116621729,-0.0008683267991908827,0.002122888708824148,,,,
1754558870.9560268,move_straight,0.6,0.35321,-0.08343,0.36293288153596664,0.23706711846403333,0.4567835249468255,-0.0007813113729916304,0.0016659712789738462,,,,
1754558870.9871488,move_straight,0.6,0.37362,-0.08791,0.38382663847106807,0.2161733615289319,0.40036154946052777,-0.0005187705216155719,0.00045333941692818705,,,,
1754558871.0179958,move_straight,0.6,0.38274,-0.0901,0.39320574983079787,0.2067942501692021,0.4000001629853961,-0.0005847179661325752,0.0016755832555390752,,,,
1754558871.0487785,move_straight,0.6,0.39889,-0.09387,0.4097899360648087,0.1902100639351913,0.35512615084370486,-0.0005961887476693822,0.0015277355974736568,,,,
1754558871.0787187,move_straight,0.6,0.40609,-0.09555,0.4171833358368956,0.18281666416310438,0.354957256082708,-0.000600578959152831,0.001516110700041592,,,,
1754558871.1100466,move_straight,0.6,0.41902,-0.09873,0.43049784761366694,0.16950215238633304,0.31945155382204704,-0.0007672211299416809,0.0024499807112980535,,,,
1754558871.1401358,move_straight,0.6,0.43045,-0.10129,0.44221044413265503,0.15778955586734494,0.2978371404296775,-0.00066997516217282,0.0013517449927462945,,,,
1754558871.1711547,move_straight,0.6,0.43045,-0.10129,0.44221044413265503,0.15778955586734494,0.31732477547328924,-0.00066997516217282,0.0016749379054320501,,,,
1754558871.2019033,move_straight,0.6,0.44641,-0.10492,0.4585777144607007,0.14142228553929925,0.2579973230535215,-0.0005881530567035803,0.001204282428329325,,,,
1754558871.232919,move_straight,0.6,0.45161,-0.10603,0.4638938547771462,0.1361061452228538,0.2654307063439955,-0.0004906795817116588,0.0009124268897290957,,,,
1754558871.2641037,move_straight,0.6,0.46184,-0.1084,0.4743947762149157,0.12560522378508426,0.23618187529338702,-0.0004803597490840028,0.0011678067296500916,,,,
1754558871.2950895,move_straight,0.6,0.46689,-0.10965,0.47959674488052983,0.12040325511947014,0.23423915416341298,-0.0005532406056266842,0.0016183085468761,,,,
1754558871.3258345,move_straight,0.6,0.47724,-0.11195,0.4901985793533066,0.1098014206466934,0.20420493058822692,-0.00044754429839705123,0.0007750773471073833,,,,
