timestamp,action,target,current_x,current_y,current_distance,error,output,current_yaw
1754540891.1366024,move,0.6,0.00011,-9e-05,0.0,0.6,0.7,
1754540891.167826,move,0.6,0.0001,-9e-05,9.999999999999999e-06,0.59999,0.7,
1754540891.198064,move,0.6,0.0001,-7e-05,2.2360679774997908e-05,0.599977639320225,0.7,
1754540891.229149,move,0.6,0.00011,-6e-05,3.0000000000000004e-05,0.59997,0.7,
1754540891.2593052,move,0.6,0.00025,-6e-05,0.00014317821063276353,0.5998568217893672,0.7,
1754540891.2896883,move,0.6,0.00229,-0.00025,0.002185863673699712,0.5978141363263003,0.7,
1754540891.3199077,move,0.6,0.00502,-0.00034,0.0049163604424411365,0.5950836395575588,0.7,
1754540891.3511958,move,0.6,0.01585,-0.00104,0.015768642934634546,0.5842313570653654,0.7,
1754540891.382016,move,0.6,0.03605,-0.00174,0.03597785568929866,0.5640221443107013,0.7,
1754540891.4121897,move,0.6,0.06351,-0.00215,0.06343345804857245,0.5365665419514275,0.7,
1754540891.4435122,move,0.6,0.07893,-0.00271,0.07886353276388271,0.5211364672361173,0.7,
1754540891.4738717,move,0.6,0.11166,-0.00407,0.11162097876295476,0.48837902123704524,0.7,
1754540891.5045404,move,0.6,0.12844,-0.00415,0.12839420742385538,0.4716057925761446,0.7,
1754540891.5351667,move,0.6,0.16185,-0.00512,0.16181819582482063,0.4381818041751794,0.7,
1754540891.5658875,move,0.6,0.19558,-0.00598,0.17865195576875165,0.42134804423124833,0.7,
1754540891.596039,move,0.6,0.21257,-0.0063,0.2125507367665424,0.3874492632334576,0.7,
1754540891.6260028,move,0.6,0.22969,-0.00656,0.229671150343268,0.37032884965673196,0.7,
1754540891.6564074,move,0.6,0.24673,-0.00727,0.2467244957437344,0.3532755042562656,0.7,
1754540891.6872454,move,0.6,0.29623,-0.00879,0.29624777535029695,0.30375222464970303,0.7,
1754540891.718384,move,0.6,0.31199,-0.0098,0.3120311178392309,0.2879688821607691,0.7,
1754540891.749606,move,0.6,0.3415,-0.0112,0.3415707308889332,0.2584292691110668,0.6836170221994655,
1754540891.7798042,move,0.6,0.35547,-0.01192,0.35555685691602124,0.24444314308397874,0.690030171780528,
1754540891.8113453,move,0.6,0.38195,-0.01284,0.3820528079991037,0.2179471920008963,0.5729207891805457,
1754540891.8420296,move,0.6,0.39471,-0.01329,0.3948207188079167,0.20517928119208328,0.5770738578232453,
1754540891.8731804,move,0.6,0.41905,-0.01423,0.4191785576577122,0.18082144234228775,0.46747406929816426,
1754540891.9040277,move,0.6,0.43095,-0.01457,0.4310832587795541,0.16891674122044587,0.47141298208708593,
1754540891.9353106,move,0.6,0.45405,-0.01553,0.45420250681826935,0.14579749318173063,0.3667894104019449,
1754540891.9658043,move,0.6,0.47576,-0.01638,0.46531310447912383,0.13468689552087615,0.3709668003513599,
1754540891.9970562,move,0.6,0.48587,-0.01674,0.48604526548460486,0.11395473451539512,0.2789027359321614,
1754540892.0280955,move,0.6,0.5039,-0.01706,0.5040757333972743,0.09592426660272568,0.23309069883665956,
1754540892.0590072,move,0.6,0.51157,-0.01725,0.5117477867074756,0.08825221329252442,0.24337182615956499,
1754540892.0894835,move,0.6,0.51831,-0.01744,0.518490368763008,0.08150963123699195,0.22586419302238755,
1754540892.1202385,move,0.6,0.52426,-0.01763,0.524443394562273,0.07555660543772702,0.21079608888414184,
1754540892.1515508,move,0.6,0.53255,-0.01761,0.532728170833869,0.06727182916613095,0.17886048562082563,
1754540892.1824245,move,0.6,0.53554,-0.01779,0.5357224793678159,0.06427752063218406,0.18665745277981383,
1754540892.213563,move,0.6,0.54,-0.01791,0.5401840098521984,0.05981599014780159,0.16866198033442958,
1754540892.2446942,move,0.6,0.54151,-0.01797,0.541695167414294,0.05830483258570596,0.17362056813707458,
1754540892.2754524,move,0.6,0.54385,-0.0182,0.5440415054938362,0.05595849450616375,0.16382456514060537,
1754540892.3064313,move,0.6,0.54619,-0.01857,0.5463926031710165,0.05360739682898352,0.15682687960168154,
1754540892.3373225,move,0.6,0.54756,-0.01879,0.5477692876567652,0.05223071234323473,0.1558457464510681,
1754540892.3676698,move,0.6,0.55167,-0.01907,0.5518864683972601,0.0481135316027399,0.13439851160345884,
1754540892.3978336,move,0.6,0.55459,-0.01909,0.5548054347246429,0.045194565275357035,0.12954503816721258,
1754540892.4284072,move,0.6,0.56166,-0.01912,0.5618723550772008,0.038127644922799186,0.09491854847878549,
1754540892.459566,move,0.6,0.56581,-0.01934,0.5660274308723916,0.033972569127608376,0.09224324774713627,
1754540892.4906573,move,0.6,0.57443,-0.01974,0.5746560579163853,0.02534394208361468,0.051947730595547914,
1754540892.5221405,move,0.6,0.57864,-0.02008,0.5788752551284257,0.02112474487157423,0.053647976595450564,
1754540893.5648935,turn,87.51,0.58927,-0.02238,,90.0,80.0,-2.49
1754540893.595657,turn,87.51,0.58924,-0.02239,,90.0,80.0,-2.49
1754540893.62551,turn,87.51,0.58919,-0.02238,,90.0,80.0,-2.49
1754540893.6559622,turn,87.51,0.58893,-0.02292,,89.77000000000001,80.0,-2.26
1754540893.686653,turn,87.51,0.58751,-0.02499,,86.96000000000001,80.0,0.55
1754540893.717037,turn,87.51,0.58731,-0.02578,,85.35000000000001,80.0,2.16
1754540893.7483845,turn,87.51,0.5874,-0.02554,,82.84,80.0,4.67
1754540893.7791586,turn,87.51,0.58739,-0.02539,,80.5,80.0,7.01
1754540893.8104384,turn,87.51,0.5875,-0.02578,,79.23,80.0,8.28
1754540893.8405993,turn,87.51,0.58747,-0.02617,,77.82000000000001,80.0,9.69
1754540893.8707082,turn,87.51,0.58778,-0.02659,,73.48,80.0,14.03
1754540893.9023056,turn,87.51,0.58799,-0.02668,,72.03,80.0,15.48
1754540893.9326923,turn,87.51,0.58843,-0.0269,,69.08000000000001,80.0,18.43
1754540893.9638069,turn,87.51,0.58863,-0.02646,,67.68,80.0,19.83
1754540893.9942744,turn,87.51,0.58891,-0.02585,,64.66,80.0,22.85
1754540894.024969,turn,87.51,0.58906,-0.02562,,63.14,80.0,24.37
1754540894.0551589,turn,87.51,0.58933,-0.02473,,60.11000000000001,80.0,27.4
1754540894.0857706,turn,87.51,0.58961,-0.02449,,58.580000000000005,80.0,28.93
1754540894.1166544,turn,87.51,0.58981,-0.02431,,56.980000000000004,80.0,30.53
1754540894.147265,turn,87.51,0.59008,-0.02386,,53.89000000000001,80.0,33.62
1754540894.1776612,turn,87.51,0.59033,-0.02361,,52.38,80.0,35.13
1754540894.2097716,turn,87.51,0.59059,-0.02352,,49.25000000000001,80.0,38.26
1754540894.240389,turn,87.51,0.59062,-0.02345,,47.660000000000004,80.0,39.85
1754540894.2705364,turn,87.51,0.59103,-0.02334,,44.49,80.0,43.02
1754540894.3002884,turn,87.51,0.59133,-0.02337,,42.89000000000001,80.0,44.62
1754540894.331407,turn,87.51,0.59167,-0.02338,,39.760000000000005,80.0,47.75
1754540894.3618047,turn,87.51,0.5919,-0.02322,,38.25000000000001,80.0,49.26
1754540894.3919425,turn,87.51,0.59221,-0.02329,,35.080000000000005,80.0,52.43
1754540894.4225802,turn,87.51,0.59243,-0.02329,,33.46000000000001,80.0,54.05
1754540894.4531133,turn,87.51,0.59336,-0.02261,,30.28000000000001,80.0,57.23
1754540894.4841425,turn,87.51,0.59351,-0.02221,,28.67,80.0,58.84
1754540894.5151134,turn,87.51,0.59383,-0.02159,,25.490000000000002,66.77622478019168,62.02
1754540894.5458558,turn,87.51,0.59384,-0.02111,,22.370000000000005,57.54198645379066,65.14
1754540894.5762925,turn,87.51,0.59403,-0.02042,,20.77000000000001,57.640353392553315,66.74
1754540894.606456,turn,87.51,0.59366,-0.01957,,16.620000000000005,36.69383066227322,70.89
1754540894.6371744,turn,87.51,0.59299,-0.01891,,15.530000000000001,43.638569063034076,71.98
1754540894.6676755,turn,87.51,0.59288,-0.01819,,13.41000000000001,33.880466852564254,74.1
1754540894.698419,turn,87.51,0.5929,-0.01774,,12.570000000000007,35.582618030423056,74.94
1754540894.7291565,turn,87.51,0.59256,-0.01739,,10.710000000000008,26.68692606856427,76.8
1754540894.7596354,turn,87.51,0.59247,-0.01742,,9.840000000000003,27.27675657911122,77.67
1754540894.7896311,turn,87.51,0.59204,-0.0172,,8.240000000000009,19.99955538970928,79.27
1754540894.8196356,turn,87.51,0.59205,-0.01717,,7.6000000000000085,21.282923915607455,79.91
1754540894.8508677,turn,87.51,0.59202,-0.01718,,6.400000000000006,15.975737533436613,81.11
