timestamp,action,target,current_x,current_y,current_distance,error,output,current_yaw
1754558484.7072973,move,0.6,-1e-05,9e-05,0.0,0.6,31.200003,
1754558484.7374864,move,0.6,0.0,9e-05,1e-05,0.59999,1.2000570032989681,
1754558484.7680392,move,0.6,-1e-05,8e-05,9.999999999999999e-06,0.59999,1.200165222667098,
1754558484.7983017,move,0.6,0.00011,4e-05,0.00013,0.59987,1.1998177250326125,
1754558484.8283768,move,0.6,0.00069,-0.00013,0.0007337574531137656,0.5992662425468862,1.1978948397868754,
1754558484.8589911,move,0.6,0.00432,-0.00083,0.0044266578815173865,0.5955733421184826,1.1855726375794582,
1754558484.890018,move,0.6,0.00839,-0.00191,0.008634813257969162,0.5913651867420309,1.1764979093792374,
1754558484.9213364,move,0.6,0.02259,-0.00425,0.023012944183654554,0.5769870558163455,1.1316587281146218,
1754558484.9522107,move,0.6,0.0329,-0.00633,0.033530351921803626,0.5664696480781963,1.1166334544869068,
1754558484.9830554,move,0.6,0.05955,-0.01125,0.06062993650004922,0.5393700634999508,1.0356210261668761,
1754558485.0143306,move,0.6,0.09288,-0.01662,0.09438101609963732,0.5056189839003626,0.9581689376195205,
1754558485.0449398,move,0.6,0.11118,-0.02013,0.11301355892104274,0.4869864410789572,0.9445002243226993,
1754558485.0759032,move,0.6,0.12986,-0.02424,0.13212935253001132,0.46787064746998863,0.90590897193067,
1754558485.1073627,move,0.6,0.14927,-0.02713,0.1517413813038487,0.44825861869615125,0.8664535622732604,
1754558485.13719,move,0.6,0.18828,-0.03497,0.1915263107251847,0.4084736892748153,0.7514228189190942,
1754558485.1680927,move,0.6,0.20818,-0.03788,0.21162418812602685,0.38837581187397313,0.7454610117532489,
1754558485.1997018,move,0.6,0.24737,-0.04518,0.25148804603797775,0.3485119539620222,0.6352488036883579,
1754558485.2305603,move,0.6,0.26641,-0.04876,0.2708614754814719,0.3291385245185281,0.6282196435747617,
1754558485.2603648,move,0.6,0.30303,-0.05532,0.3080641324464762,0.2919358675535238,0.5228373605004176,
1754558485.2911417,move,0.6,0.3201,-0.05831,0.32539356493329735,0.2746064350667026,0.5224787212184417,
1754558485.321404,move,0.6,0.35066,-0.06389,0.35645881851905425,0.24354118148094572,0.43721153199309726,
1754558485.3526456,move,0.6,0.36386,-0.06635,0.3698859966259874,0.23011400337401255,0.4402306704800739,
1754558485.3833804,move,0.6,0.38601,-0.07007,0.39234406584017556,0.20765593415982442,0.380300394341288,
1754558485.414098,move,0.6,0.40991,-0.07408,0.4165760378370316,0.18342396216296836,0.32895676873764446,
1754558485.4450028,move,0.6,0.41597,-0.07538,0.4227707195395632,0.1772292804604368,0.34601570732517534,
1754558485.4761257,move,0.6,0.42664,-0.07719,0.4335924594593407,0.16640754054065926,0.31703485128370673,
1754558485.5073035,move,0.6,0.43122,-0.07792,0.43822924708421734,0.16177075291578263,0.3177359254790481,
1754558485.538063,move,0.6,0.43887,-0.07909,0.445965387446156,0.15403461255384399,0.29714820995560287,
1754558485.5684035,move,0.6,0.4422,-0.07961,0.4493348129179398,0.15066518708206017,0.29745469203512187,
1754558485.599263,move,0.6,0.44912,-0.08092,0.4563774501440666,0.14362254985593337,0.2775334565451745,
1754558485.6303716,move,0.6,0.45278,-0.08157,0.46009470731578733,0.13990529268421265,0.2755568813560532,
1754558485.660933,move,0.6,0.46099,-0.08316,0.46845657482844666,0.13154342517155332,0.25114747112189567,
1754558485.691467,move,0.6,0.46579,-0.08428,0.473379273838642,0.126620726161358,0.24694081776483673,
1754558485.7221978,move,0.6,0.47673,-0.08646,0.48453269249865893,0.11546730750134104,0.2145657115170626,
1754558485.7531216,move,0.6,0.48264,-0.08753,0.49053877206598057,0.10946122793401941,0.21100641077827537,
1754558485.7839885,move,0.6,0.49513,-0.09003,0.5032745115739521,0.09672548842604789,0.1746308243391941,
1754558485.8151517,move,0.6,0.50144,-0.09117,0.509686658742408,0.09031334125759194,0.1721627134536739,
1754558485.8463275,move,0.6,0.50747,-0.09216,0.5157964839934448,0.08420351600655518,0.16044522399270977,
1754558485.8773277,move,0.6,0.51856,-0.09426,0.5270832642002589,0.07291673579974112,0.1294775329919926,
1754558485.9082825,move,0.6,0.52323,-0.09513,0.531833569831766,0.06816643016823398,0.1305189140986582,
1754558485.9391181,move,0.6,0.53052,-0.09645,0.5392421093534888,0.06075789064651116,0.11137121053670376,
1754558485.9704132,move,0.6,0.53329,-0.09701,0.5420676157085941,0.0579323842914059,0.11322791571800772,
1754558486.0013366,move,0.6,0.53687,-0.09769,0.545711519761128,0.054288480238872006,0.10457097279332558,
1754558486.0314724,move,0.6,0.53777,-0.09785,0.5466256232559904,0.05337437674400958,0.10712600072262982,
1754558486.062191,move,0.6,0.5383,-0.09792,0.5471595893338614,0.05284041066613854,0.1067136954393665,
1754558486.0926745,move,0.6,0.53816,-0.09789,0.5470164799162818,0.052983520083718205,0.10811184860862949,
1754558486.1233704,move,0.6,0.53814,-0.09793,0.5470039697296537,0.05299603027034627,0.10793064768805881,
1754558486.1532469,move,0.6,0.53844,-0.09809,0.5473277947446118,0.05267220525538818,0.10672854847216391,
1754558486.1843858,move,0.6,0.54006,-0.09873,0.5490364262050378,0.05096357379496219,0.10111759564873186,
1754558486.2152452,move,0.6,0.54371,-0.0996,0.5527834426789573,0.047216557321042685,0.0903033160789226,
1754558486.246213,move,0.6,0.54634,-0.10012,0.5554641001901023,0.044535899809897694,0.08669184440127631,
1754558486.277441,move,0.6,0.55309,-0.10145,0.5623432951498576,0.037656704850142386,0.06625304025901367,
