timestamp,action,target,current_x,current_y,current_distance,error,output,current_yaw
1754563017.6369214,turn,-95.44,0.04408,0.59891,,13.549999999999997,32.353400938590234,-108.99
1754563017.668587,turn,-95.44,0.0444,0.59893,,11.570000000000007,25.798575303994312,-107.01
1754563017.6992939,turn,-95.44,0.04477,0.59912,,10.769999999999996,25.622360436045128,-106.21
1754563017.7299578,turn,-95.44,0.04527,0.5993,,10.0,23.74445469389025,-105.44
1754563017.7602892,turn,-95.44,0.04555,0.59922,,9.25,21.888656372082785,-104.69
1754563017.7906287,turn,-95.44,0.04593,0.59877,,7.909999999999997,17.566656243860642,-103.35
1754563017.8215933,turn,-95.44,0.04607,0.59848,,7.230000000000004,16.976972388835442,-102.67
1754563017.8519127,turn,-95.44,0.0462,0.59789,,5.950000000000003,12.764143926585888,-101.39
1754563017.8824923,turn,-95.44,0.04637,0.59749,,5.460000000000008,12.848811414314701,-100.9
1754563017.9128647,turn,-95.44,0.04681,0.5969,,4.560000000000002,9.918390781138381,-100.0
1754563017.943734,turn,-95.44,0.04695,0.59685,,4.140000000000001,9.669711264722919,-99.58
1754563017.9743104,turn,-95.44,0.04692,0.59698,,3.3700000000000045,7.165861743354638,-98.81
1754563018.0058863,turn,-95.44,0.04655,0.59735,,2.6700000000000017,5.566560340987171,-98.11
1754563018.036995,turn,-95.44,0.04635,0.59756,,2.3799999999999955,5.483891216211016,-97.82
1754563018.0683253,turn,-95.44,0.0462,0.59795,,1.9300000000000068,4.1068464488734,-97.37
1754563018.1000762,turn,-95.44,0.04616,0.59813,,1.740000000000009,4.05079604724684,-97.18
1754563018.1316128,turn,-95.44,0.04623,0.59874,,1.3799999999999955,2.879234225924941,-96.82
1754563018.1618798,turn,-95.44,0.0464,0.59902,,1.230000000000004,2.827205373811555,-96.67
1754563019.201792,move,0.6,0.0475,0.60664,0.0,0.6,0.5,
1754563019.2327223,move,0.6,0.04752,0.60673,9.219544457296238e-05,0.599907804555427,0.5,
1754563019.263705,move,0.6,0.04752,0.60678,0.00014142135623733808,0.5998585786437627,0.5,
1754563019.2946067,move,0.6,0.04758,0.60673,0.00012041594578794658,0.599879584054212,0.5,
1754563019.3246675,move,0.6,0.04747,0.606,0.0006407027391856279,0.5993592972608144,0.5,
1754563019.3548355,move,0.6,0.04734,0.60469,0.0019565530915362428,0.5980434469084638,0.5,
1754563019.3847635,move,0.6,0.04647,0.59822,0.008482764879448193,0.5915172351205518,0.5,
1754563019.4159598,move,0.6,0.0453,0.59226,0.014547315903629732,0.5854526840963703,0.5,
1754563019.4471545,move,0.6,0.04299,0.57329,0.033653567418625914,0.5663464325813741,0.5,
1754563019.477912,move,0.6,0.04222,0.56148,0.045467614848373104,0.5545323851516268,0.5,
1754563019.5087638,move,0.6,0.04122,0.53647,0.07045045989913759,0.5295495401008624,0.5,
1754563019.5409355,move,0.6,0.04035,0.52383,0.08311810031515392,0.5168818996848461,0.5,
